country,year,leader,aid,physint,imports,exports,defensive_alliance,democracy,gdp,pop,mindist,fpsim
Canada,1973,Nixon,0,0.956,18763,18163,1,Democracy,544971861499.1627,21682152.182082497,0,0.461
Canada,1974,Ford,0,0.956,23776,23814,1,Democracy,563255961323.7964,22031856.793554418,0,0.569
Canada,1975,Ford,0,0.956,22754,25381,1,Democracy,583318974645.8019,22231038.477800973,0,0.55
Canada,1976,Ford,0,0.956,27567,28740,1,Democracy,609558035776.4828,22499417.996097803,0,0.374
Canada,1977,Carter,0,0.956,30869,30820,1,Democracy,627494033788.2631,22793819.896249685,0,0.714
Canada,1978,Carter,0,0.956,34647,33985,1,Democracy,651797651340.7843,23115177.630108338,0,0.777
Canada,1979,Carter,0,0.956,38970,42468,1,Democracy,686587834949.5657,23300840.713279814,0,0.662
Canada,1980,Carter,0,0.956,41999,45321,1,Democracy,696267665348.27,23487995.058210395,0,0.704
Canada,1981,Reagan,0,0.956,46826,49747,1,Democracy,717472172603.3557,23914606.957896195,0,0.439
Canada,1982,Reagan,0,0.956,46792,42372,1,Democracy,703968888741.9221,24251766.06212235,0,0.365
Canada,1983,Reagan,0,0.956,52546,48627,1,Democracy,729044055562.9038,24471017.106438328,0,0.419
Canada,1984,Reagan,0,0.956,66911,57898,1,Democracy,770264654589.9454,24593678.590135086,0,0.301
Canada,1985,Reagan,0,0.956,69427,59465,1,Democracy,785825032787.9082,24940411.55788457,0,0.359
Canada,1986,Reagan,0,0.956,68662,61224,1,Democracy,809756967930.4719,25241499.410650227,0,0.33
Canada,1987,Reagan,0,0.956,71510,65591,1,Democracy,861550922259.166,25571781.08240124,0,0.302
Canada,1988,Reagan,0,0.956,81430,77495,1,Democracy,899405656089.8369,25880491.0104481,0,0.218
Canada,1989,G.H.W. Bush,0,0.956,89550,82004,1,Democracy,915741539786.2443,26166747.938247707,0,0.217
Canada,1990,G.H.W. Bush,0,0.956,93780,82778,1,Democracy,915741539786.2443,26562207.69062169,0,0.302
Canada,1991,G.H.W. Bush,0,0.956,93736,82528,1,Democracy,912085889801.2699,26882874.33478364,0,0.301
Canada,1992,G.H.W. Bush,0,0.956,101292,87223,1,Democracy,921252505388.8829,27289156.951661494,0,0.304
Canada,1993,Clinton,0,0.956,113617,96535,1,Democracy,950258604727.7722,27673892.010410547,0,0.325
Canada,1994,Clinton,0,0.956,131956,109591,1,Democracy,985091138269.3542,27896171.07727417,0,0.356
Canada,1995,Clinton,0,0.956,148304,119886,1,Democracy,1024268689277.8124,28148369.808922928,0,0.22
Canada,1996,Clinton,0,0.956,159746,126088,1,Democracy,1046005772292.3671,28516687.494267587,0,0.368
Canada,1997,Clinton,0,0.956,171440,145143,1,Democracy,1080019270542.0686,28918728.84196732,0,0.269
Canada,1998,Clinton,0,0.956,178048,149054,1,Democracy,1117371312272.5576,29151006.544700872,0,0.276
Canada,1999,Clinton,39472,0.956,198828,157847,1,Democracy,1182911632106.5862,29502925.916445438,0,0.285
Canada,2000,Clinton,67247,0.956,229191,169068,1,Democracy,1220156200896.6897,29561990.813487146,0,0.282
Canada,2001,G.W. Bush,54166,0.956,220138,155205,1,Democracy,1261093099395.3977,29888967.788788453,0,0.228
Canada,2002,G.W. Bush,64639,0.956,213954,152969,1,Democracy,1285282944101.8408,30219561.365659382,0,0.191
Canada,2003,G.W. Bush,37602496,0.956,227652,159630,1,Democracy,1324425637162.863,30431840.405051544,0,0.227
Canada,2004,G.W. Bush,32857156,0.956,259807,176258,1,Democracy,1382618111545.9795,30737685.48580099,0,0.201
Canada,2005,G.W. Bush,31532717,0.956,291944,195360,1,Democracy,1410548850144.4753,30984573.20382638,0,0.144
Canada,2006,G.W. Bush,33109407,0.956,307823,211109,1,Democracy,1462253712263.317,31264693.0109869,0,0.188
Canada,2007,G.W. Bush,33749232,0.956,317604,226411,1,Democracy,1463716697346.208,31578908.39958259,0,0.218
Canada,2008,G.W. Bush,37216516,0.956,339712,235479,1,Democracy,1503775407220.807,32024122.342976496,0,0.248
Canada,2009,Obama,36045726,0.956,228376,180398,1,Democracy,1500770861953.1443,32475613.116870183,0,0.494
Canada,2010,Obama,35050161,0.956,280387,217218,1,Democracy,1514338763685.3047,32867668.09952004,0,0.352
Canada,2011,Obama,36518262,0.956,320693,246216,1,Democracy,1541843662896.2715,33164812.25539683,0,0.756
Canada,2012,Obama,30497238,0.956,328719,257486,1,Democracy,1595167719613.778,33464642.779199224,0,0.596
Canada,2013,Obama,27320419,0.974,338233,264756,1,Democracy,1604767496462.6946,33565187.44913323,0,0.665
Canada,2014,Obama,31349122,0.974,346063,276158,1,Democracy,1647038594398.8728,33666034.20598085,0,0.67
Canada,2015,Obama,12521202,0.974,NA,NA,1,Democracy,1619275592433.211,33733433.65137169,0,0.754
Canada,2016,Obama,4208473,0.974,NA,NA,1,Democracy,NA,NA,0,NA
Canada,2017,Trump,39068109,0.969,NA,NA,1,Democracy,NA,NA,0,NA
Canada,2018,Trump,28165873,0.969,NA,NA,1,NA,NA,NA,0,NA
Canada,2019,Trump,36267169,0.969,NA,NA,NA,NA,NA,NA,0,NA
Canada,2020,Trump,40639498,0.969,NA,NA,NA,NA,NA,NA,NA,NA
Canada,2021,Biden,27495656,0.969,NA,NA,NA,NA,NA,NA,NA,NA
Canada,2022,Biden,33464199,0.969,NA,NA,NA,NA,NA,NA,NA,NA
Canada,2023,Biden,7358732,0.921,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,1973,Nixon,0,NA,307,184,0,NA,3192276067.161008,174905.30637042373,NA,0.168
Bahamas,1974,Ford,0,NA,1025,233,0,NA,2874084426.130295,177548.66156723216,105.678523773782,0.267
Bahamas,1975,Ford,0,NA,927,350,0,NA,2677100117.6977654,181679.60452314166,105.678523773782,0.072
Bahamas,1976,Ford,0,NA,704,211,0,NA,2739386973.45805,185349.77599004042,105.678523773782,0.158
Bahamas,1977,Carter,0,NA,1103,214,0,NA,3015405040.820982,189094.08983869816,105.678523773782,0.132
Bahamas,1978,Carter,0,NA,1021,190,0,NA,3369398234.716615,193687.2453921177,105.678523773782,0.174
Bahamas,1979,Carter,0,NA,1658,208,0,NA,3946125309.007802,198391.97015405126,105.678523773782,0.014
Bahamas,1980,Carter,0,NA,1524,396,0,NA,4136020786.957337,202602.25478913137,105.678523773782,-0.022
Bahamas,1981,Reagan,0,NA,1306,485,0,NA,4070371052.761268,206901.89030214623,105.678523773782,0.057
Bahamas,1982,Reagan,0,NA,1086,649,1,NA,4177588486.929842,211081.58574031832,105.678523773782,0.031
Bahamas,1983,Reagan,0,NA,1746,191,1,NA,4458151253.990691,216208.82455880733,105.678523773782,0.04
Bahamas,1984,Reagan,59704,NA,1218,760,1,NA,4843967726.292633,219695.9886721379,105.678523773782,0.004
Bahamas,1985,Reagan,105918,NA,652,867,1,NA,5041653799.365592,224358.38828829568,105.678523773782,-0.001
Bahamas,1986,Reagan,148320,NA,463,840,1,NA,5310755814.402055,228433.40439762833,105.678523773782,0.012
Bahamas,1987,Reagan,105928,NA,450,977,1,NA,5516447934.610498,233514.6278108977,105.678523773782,0.017
Bahamas,1988,Reagan,2103271,NA,426,901,1,NA,5571889158.064436,237518.31137237404,105.678523773782,0.011
Bahamas,1989,G.H.W. Bush,3014233,NA,478,1013,1,NA,5875165107.582275,242801.61749832364,105.678523773782,0.019
Bahamas,1990,G.H.W. Bush,3234793,NA,526,881,1,NA,5799282268.319236,245732.78876191442,105.678523773782,0.027
Bahamas,1991,G.H.W. Bush,2631903,NA,488,793,1,NA,5724379521.562375,250446.3487697208,105.678523773782,0.016
Bahamas,1992,G.H.W. Bush,2103984,NA,607,784,1,NA,5673091249.288913,256273.36864782812,105.678523773782,-0.023
Bahamas,1993,Clinton,2444065,NA,375,775,1,NA,5616643048.202359,260928.05579191123,105.678523773782,-0.004
Bahamas,1994,Clinton,1331910,NA,220,754,1,NA,5633518277.534545,266732.08322723705,105.678523773782,0.054
Bahamas,1995,Clinton,1373562,NA,170,727,1,NA,5845862599.361788,270222.237156871,105.678523773782,-0.013
Bahamas,1996,Clinton,1597043,NA,178,798,1,NA,6383612521.511962,272938.01579015516,105.678523773782,0.084
Bahamas,1997,Clinton,2619430,NA,180,1473,1,NA,6697498932.532188,277062.9456588781,105.678523773782,-0.038
Bahamas,1998,Clinton,2474063,NA,154,896,1,NA,7233580653.729301,280407.7295729586,105.678523773782,-0.005
Bahamas,1999,Clinton,8790138,NA,200,930,1,NA,7619678392.1524105,285215.41047897574,105.678523773782,-0.03
Bahamas,2000,Clinton,10182867,NA,278,1158,1,NA,8002341313.532515,289236.50823223864,105.678523773782,0.01
Bahamas,2001,G.W. Bush,10921794,NA,328,1124,1,NA,8213130573.73917,294784.54130047554,105.678523773782,0.021
Bahamas,2002,G.W. Bush,10881203,NA,478,1073,1,NA,8599758857.610348,298641.7579231144,105.678523773782,0.008
Bahamas,2003,G.W. Bush,10018394,NA,500,1193,1,NA,8660168356.186731,304370.19918608066,105.678523773782,0.012
Bahamas,2004,G.W. Bush,11761849,NA,667,1300,1,NA,8694878403.425888,309279.29037574335,105.678523773782,-0.053
Bahamas,2005,G.W. Bush,5750569,NA,726,1946,1,NA,8986596262.498419,314581.9834977576,105.678523773782,-0.091
Bahamas,2006,G.W. Bush,10061918,NA,475,2517,1,NA,8932838120.623379,323514.7542258254,105.678523773782,-0.009
Bahamas,2007,G.W. Bush,12846902,NA,523,2720,1,NA,9232539656.525595,329720.3005639324,105.678523773782,0.008
Bahamas,2008,G.W. Bush,27597816,NA,626,3036,1,NA,8941775426.652252,336044.8795113759,105.678523773782,-0.004
Bahamas,2009,Obama,18325772,NA,845,2701,1,NA,8914990298.153887,339761.77865262085,105.678523773782,-0.034
Bahamas,2010,Obama,19643325,NA,815,3546,1,NA,8959676872.984732,347666.85951227485,105.678523773782,0.021
Bahamas,2011,Obama,15432001,NA,806,3760,1,NA,8879401561.885431,351160.9695400011,105.678523773782,-0.037
Bahamas,2012,Obama,4942830,NA,588,3956,1,NA,9004587440.204052,357539.0979387735,105.678523773782,0.009
Bahamas,2013,Obama,1463477,NA,620,4098,1,NA,8870526598.544786,362942.60942856764,105.678523773782,0.017
Bahamas,2014,Obama,3431900,NA,542,3690,1,NA,8879401561.885431,364397.2872824195,105.678523773782,-0.016
Bahamas,2015,Obama,2206245,NA,NA,NA,1,NA,8764716410.211456,364033.0721330632,105.678523773782,0.02
Bahamas,2016,Obama,4086200,NA,NA,NA,1,NA,NA,NA,105.678523773782,NA
Bahamas,2017,Trump,2273112,NA,NA,NA,1,NA,NA,NA,105.678523773782,NA
Bahamas,2018,Trump,418466,NA,NA,NA,1,NA,NA,NA,105.678523773782,NA
Bahamas,2019,Trump,33520978,NA,NA,NA,NA,NA,NA,NA,105.678523773782,NA
Bahamas,2020,Trump,11923543,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2021,Biden,2363825,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2022,Biden,6893614,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2023,Biden,3695020,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,1946,Truman,1254573,0.79,324,272,1,Anocracy,16341929436.884651,4837942.088750695,233.681391013833,0.373
Cuba,1947,Truman,1131325,0.79,510,492,1,Anocracy,17632330251.917767,4950504.259685759,233.681391013833,0.347
Cuba,1948,Truman,1033616,0.79,375,441,1,Anocracy,18151154419.232025,5080905.237307706,233.681391013833,0.379
Cuba,1949,Truman,0,0.803,388,380,1,Anocracy,18929738726.769627,5235641.8383718915,233.681391013833,0.288
Cuba,1950,Truman,0,0.793,436,448,1,Anocracy,20201041511.507095,5422133.876033823,233.681391013833,0.505
Cuba,1951,Truman,961939,0.793,472,543,1,Anocracy,21004446702.65668,5553839.231528188,233.681391013833,0.588
Cuba,1952,Truman,6473409,0.378,476,509,1,Anocracy,21796167749.913857,5688743.751975418,233.681391013833,0.528
Cuba,1953,Eisenhower,17256920,0.338,489,408,1,Anocracy,21514651390.180847,5903169.688761557,233.681391013833,0.601
Cuba,1954,Eisenhower,15249774,0.338,432,404,1,Autocracy,22236479545.910065,6016402.215460316,233.681391013833,0.3
Cuba,1955,Eisenhower,18631267,0.338,457,466,1,Autocracy,23120835092.127785,6113438.874070007,233.681391013833,0.756
Cuba,1956,Eisenhower,22050794,0.338,496,536,1,Autocracy,24648946544.7357,6230704.710396422,233.681391013833,0.892
Cuba,1957,Eisenhower,51825329,0.338,526,636,1,Autocracy,25323534052.09976,6369299.163073426,233.681391013833,0.771
Cuba,1958,Eisenhower,20748650,0.338,577,553,1,Autocracy,26016583537.312157,6491472.8215586515,233.681391013833,0.846
Cuba,1959,Eisenhower,10349935,0.817,515,442,1,Anocracy,25990579957.73166,6635867.743897112,233.681391013833,-0.154
Cuba,1960,Eisenhower,7895860,0.577,389,225,1,Anocracy,25757714205.837296,6756394.853055313,233.681391013833,-0.541
Cuba,1961,Kennedy,15580,0.577,37,14,1,Autocracy,26016583537.312157,6885993.645047073,233.681391013833,-0.526
Cuba,1962,Kennedy,0,0.577,7,13,1,Autocracy,26173152275.043297,6997055.670256406,233.681391013833,-0.661
Cuba,1963,Johnson,0,0.577,0,37,0,Autocracy,26862577930.507763,7145547.547001256,233.681391013833,-0.525
Cuba,1964,Johnson,0,0.577,0,0,0,Autocracy,27241298882.443058,7297190.726022138,233.681391013833,NA
Cuba,1965,Johnson,0,0.577,0,0,0,Autocracy,27958860532.65512,7466971.102632718,233.681391013833,-0.33
Cuba,1966,Johnson,0,0.591,0,0,0,Autocracy,28954747003.197582,7648346.204395746,233.681391013833,-0.453
Cuba,1967,Johnson,0,0.591,0,0,0,Autocracy,30166564130.818073,7771703.974203344,233.681391013833,-0.494
Cuba,1968,Johnson,0,0.591,0,0,0,Autocracy,30076200052.316418,7920778.068995027,233.681391013833,-0.554
Cuba,1969,Nixon,0,0.591,0,0,0,Autocracy,30317774662.78034,8056582.36205464,233.681391013833,-0.281
Cuba,1970,Nixon,0,0.616,0,0,0,Autocracy,30775969150.263653,8194715.0634919265,233.681391013833,-0.539
Cuba,1971,Nixon,0,0.616,0,0,0,Autocracy,31904088351.045166,8260535.715565044,233.681391013833,-0.269
Cuba,1972,Nixon,0,0.616,0,0,0,Autocracy,33472833282.79592,8351903.20835961,233.681391013833,-0.365
Cuba,1973,Nixon,0,0.616,0,0,0,Autocracy,35828159522.39837,8571900.260426184,233.681391013833,-0.171
Cuba,1974,Ford,0,0.616,0,0,0,Autocracy,37327643436.23007,8762571.7623212,233.681391013833,-0.255
Cuba,1975,Ford,0,0.616,0,0,0,Autocracy,39163068125.70761,8886110.520507872,233.681391013833,-0.238
Cuba,1976,Ford,0,0.616,0,0,0,Autocracy,41129851143.036385,9011390.984804152,233.681391013833,-0.162
Cuba,1977,Carter,0,0.616,0,2,0,Autocracy,44112101844.67463,9147580.719035009,233.681391013833,-0.215
Cuba,1978,Carter,0,0.616,0,0,0,Autocracy,45592086648.63074,9248759.570408916,233.681391013833,-0.292
Cuba,1979,Carter,0,0.683,0,0,0,Autocracy,47786069456.29662,9332374.107562426,233.681391013833,-0.216
Cuba,1980,Carter,0,0.546,0,0,0,Autocracy,48218085236.3108,9360413.2675958,233.681391013833,-0.336
Cuba,1981,Reagan,0,0.546,0,1,0,Autocracy,51250950441.860374,9435596.907316456,233.681391013833,-0.174
Cuba,1982,Reagan,0,0.546,2,1,0,Autocracy,53770993261.08852,9511384.428459905,233.681391013833,-0.178
Cuba,1983,Reagan,0,0.546,0,1,0,Autocracy,55853610123.19188,9559060.441309333,233.681391013833,-0.169
Cuba,1984,Reagan,0,0.546,0,1,0,Autocracy,58191201309.163795,9664790.555682946,233.681391013833,-0.153
Cuba,1985,Reagan,0,0.546,0,1,0,Autocracy,58834838035.569214,9742418.979807077,233.681391013833,-0.217
Cuba,1986,Reagan,0,0.546,0,2,0,Autocracy,59485593849.160835,9860032.275985671,233.681391013833,-0.162
Cuba,1987,Reagan,0,0.546,0,1,0,Autocracy,60023380604.145035,9959127.247814633,233.681391013833,-0.145
Cuba,1988,Reagan,0,0.546,0,4,0,Autocracy,61913246987.439,10029085.707494717,233.681391013833,-0.101
Cuba,1989,G.H.W. Bush,0,0.546,0,3,0,Autocracy,64504446735.02067,10201037.61457721,233.681391013833,-0.067
Cuba,1990,G.H.W. Bush,372291,0.546,0,2,0,Autocracy,67540955569.17486,10282973.220929796,233.681391013833,-0.121
Cuba,1991,G.H.W. Bush,922828,0.546,0,1,0,Autocracy,63926511324.810165,10459278.11126445,233.681391013833,-0.149
Cuba,1992,G.H.W. Bush,2248741,0.546,0,1,0,Autocracy,59248126724.63591,10553836.488696089,233.681391013833,-0.211
Cuba,1993,Clinton,1041392,0.546,0,3,0,Autocracy,54912124056.67658,10596136.37802968,233.681391013833,-0.275
Cuba,1994,Clinton,1076639,0.546,0,5,0,Autocracy,52548374429.28752,10670569.544824503,233.681391013833,-0.298
Cuba,1995,Clinton,1593482,0.546,0,6,0,Autocracy,53717249144.36459,10724055.997249614,233.681391013833,-0.315
Cuba,1996,Clinton,4497967,0.546,0,6,0,Autocracy,56302231095.42386,10745525.571662027,233.681391013833,-0.376
Cuba,1997,Clinton,994392,0.546,0,10,0,Autocracy,58717285950.76697,10799387.742735201,233.681391013833,-0.361
Cuba,1998,Clinton,710598,0.546,0,4,0,Autocracy,59604684087.40059,10886129.348478643,233.681391013833,-0.168
Cuba,1999,Clinton,1277596,0.546,1,6,0,Autocracy,62848945889.72917,10940696.29891602,233.681391013833,-0.208
Cuba,2000,Clinton,7295986,0.546,0,3,0,Autocracy,64762981246.270515,10962599.587501368,233.681391013833,-0.174
Cuba,2001,G.W. Bush,5899476,0.546,0,7,0,Autocracy,67406008649.93812,11028572.90706523,233.681391013833,-0.161
Cuba,2002,G.W. Bush,13036428,0.546,0,159,0,Autocracy,70086778214.87274,11028572.90706523,233.681391013833,-0.096
Cuba,2003,G.W. Bush,11885289,0.546,0,287,0,Autocracy,72728560606.60542,11072775.545032566,233.681391013833,-0.156
Cuba,2004,G.W. Bush,14453531,0.546,0,440,0,Autocracy,77924013273.15698,11083853.85881131,233.681391013833,-0.128
Cuba,2005,G.W. Bush,22958490,0.559,0,398,0,Autocracy,85861382379.20915,11072775.545032566,233.681391013833,-0.265
Cuba,2006,G.W. Bush,25496520,0.559,0,382,0,Autocracy,93759609699.01765,11161713.024979925,233.681391013833,-0.123
Cuba,2007,G.W. Bush,17121173,0.559,0,492,0,Autocracy,102691994448.46513,11106043.7490225,233.681391013833,-0.165
Cuba,2008,G.W. Bush,47016088,0.526,0,790,0,Autocracy,113492205783.62929,11106043.7490225,233.681391013833,-0.148
Cuba,2009,Obama,27935171,0.56,0,587,0,Autocracy,133718141505.72125,10984546.726499643,233.681391013833,-0.203
Cuba,2010,Obama,20227514,0.597,0,408,0,Autocracy,142984204061.9791,10995536.767330736,233.681391013833,-0.159
Cuba,2011,Obama,18590961,0.582,0,387,0,Autocracy,153812474605.91437,10918836.773130493,233.681391013833,-0.357
Cuba,2012,Obama,15413527,0.598,0,512,0,Autocracy,164800254711.487,10929761.071142284,233.681391013833,-0.199
Cuba,2013,Obama,16888684,0.605,0,394,0,Autocracy,168466036057.96295,11028572.90706523,233.681391013833,-0.157
Cuba,2014,Obama,8163371,0.605,0,329,0,Autocracy,168972193021.9652,11006537.803699473,233.681391013833,-0.257
Cuba,2015,Obama,7228890,0.605,NA,NA,0,Autocracy,172385657748.26846,10940696.29891602,233.681391013833,-0.215
Cuba,2016,Obama,17510100,0.528,NA,NA,0,Autocracy,NA,NA,233.681391013833,NA
Cuba,2017,Trump,17340481,0.617,NA,NA,0,Autocracy,NA,NA,233.681391013833,NA
Cuba,2018,Trump,14205809,0.542,NA,NA,0,NA,NA,NA,233.681391013833,NA
Cuba,2019,Trump,17412402,0.519,NA,NA,NA,NA,NA,NA,233.681391013833,NA
Cuba,2020,Trump,7880550,0.538,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,2021,Biden,7399664,0.436,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,2022,Biden,7120146,0.432,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,2023,Biden,9519970,0.506,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,1946,Truman,3763720,0.455,18,12,1,Anocracy,5450646159.664251,2908069.450745147,931.813344422651,0.069
Haiti,1947,Truman,3393976,0.434,20,25,1,Anocracy,5477967637.236777,2952019.2922612587,931.813344422651,0.157
Haiti,1948,Truman,8268924,0.434,19,20,1,Anocracy,5650444208.569235,2978707.382151755,931.813344422651,0.507
Haiti,1949,Truman,3999017,0.434,20,24,1,Anocracy,5741578445.613949,3011654.03774977,931.813344422651,0.213
Haiti,1950,Truman,5069352,0.488,24,28,1,Anocracy,5781910492.207275,3014667.1981166103,931.813344422651,0.711
Haiti,1951,Truman,5771631,0.404,35,32,1,Anocracy,5934211498.56056,3044965.1071608425,931.813344422651,0
Haiti,1952,Truman,7398182,0.404,32,37,1,Anocracy,5963956857.481187,3078644.621065002,931.813344422651,0.238
Haiti,1953,Eisenhower,5449554,0.404,19,29,1,Anocracy,6127177252.446698,3134561.9706299733,931.813344422651,0.354
Haiti,1954,Eisenhower,9873309,0.404,26,31,1,Anocracy,6219777678.1748705,3194688.036920088,931.813344422651,0.054
Haiti,1955,Eisenhower,49915046,0.404,18,26,1,Anocracy,6307466958.377189,3226795.185472927,931.813344422651,0.193
Haiti,1956,Eisenhower,70305369,0.404,16,29,1,Anocracy,6441324347.869857,3285403.3902413743,931.813344422651,0.83
Haiti,1957,Eisenhower,28215082,0.089,20,25,1,Anocracy,6532137094.69783,3358483.195152345,931.813344422651,0.233
Haiti,1958,Eisenhower,34759880,0.037,25,25,1,Autocracy,6545214441.87528,3416065.472057141,931.813344422651,0.902
Haiti,1959,Eisenhower,102770933,0.037,18,18,1,Autocracy,6519085876.077445,3530676.310728261,931.813344422651,0.356
Haiti,1960,Eisenhower,108741788,0.037,20,22,1,Autocracy,6447768893.953732,3630932.2810419034,931.813344422651,0.749
Haiti,1961,Kennedy,118743651,0.037,21,19,1,Autocracy,6377232099.733033,3722849.76935252,931.813344422651,0.369
Haiti,1962,Kennedy,62183984,0.037,26,22,1,Autocracy,6617609242.158028,3798056.323411738,931.813344422651,0.291
Haiti,1963,Johnson,44202751,0.037,28,21,1,Autocracy,6610994940.617824,3855456.594041595,931.813344422651,0.179
Haiti,1964,Johnson,27862986,0.037,27,21,1,Autocracy,6571447731.243817,3937277.292966599,931.813344422651,NA
Haiti,1965,Johnson,18506671,0.037,23,21,1,Autocracy,6532137094.69783,4012800.7625095844,931.813344422651,0.456
Haiti,1966,Johnson,23906884,0.037,21,20,1,Autocracy,6591191675.546047,4126746.986607862,931.813344422651,0.574
Haiti,1967,Johnson,18985541,0.037,23,22,1,Autocracy,6637491878.927682,4180744.9235551176,931.813344422651,0.205
Haiti,1968,Johnson,23096161,0.037,28,20,1,Autocracy,6697498932.532188,4260938.503637765,931.813344422651,0.223
Haiti,1969,Nixon,21438584,0.037,31,22,1,Autocracy,6860183310.6755,4373175.665210592,931.813344422651,0.135
Haiti,1970,Nixon,22828755,0.037,34,24,1,Autocracy,7211912430.354341,4443709.239740363,931.813344422651,0.347
Haiti,1971,Nixon,25235625,0.037,42,27,1,Autocracy,7536321234.720896,4533478.121072393,931.813344422651,0.268
Haiti,1972,Nixon,27450344,0.037,54,29,1,Autocracy,7812571469.007124,4588207.578518025,931.813344422651,0.141
Haiti,1973,Nixon,40278267,0.037,67,33,1,Autocracy,8163999331.417336,4648243.666102204,931.813344422651,0.167
Haiti,1974,Ford,57149815,0.037,120,51,1,Autocracy,8677506024.788475,4751638.196377061,931.813344422651,0.213
Haiti,1975,Ford,42313360,0.037,112,77,1,Autocracy,8923909747.43337,4852477.707543424,931.813344422651,0.379
Haiti,1976,Ford,99813674,0.037,156,113,1,Autocracy,9580541966.188116,4915971.73471306,931.813344422651,-0.006
Haiti,1977,Carter,163546868,0.037,176,106,1,Autocracy,10001490811.710363,4985279.360357707,931.813344422651,0.033
Haiti,1978,Carter,104551898,0.037,203,98,1,Autocracy,10378477213.28879,5065685.362822414,931.813344422651,0.09
Haiti,1979,Carter,86307438,0.037,234,123,1,Autocracy,11186796098.521315,5173189.599171699,931.813344422651,-0.001
Haiti,1980,Carter,85818526,0.037,264,189,1,Autocracy,11573687042.136307,5277694.961287442,931.813344422651,-0.024
Haiti,1981,Reagan,100460390,0.037,287,196,1,Autocracy,11447074132.354216,5411300.445323605,931.813344422651,0.049
Haiti,1982,Reagan,93587000,0.037,326,328,1,Autocracy,11344512683.969597,5476627.22744069,931.813344422651,0.061
Haiti,1983,Reagan,120621756,0.037,352,402,1,Autocracy,11254118640.771652,5592852.493260936,931.813344422651,0.069
