County Name,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout,Yes,No
Monroe,Southeast,Wheeling,"9,163","3,210",35.03%,"2,011","1,198"
Montgomery,West,Dayton,"362,257","136,475",37.67%,"53,211","83,188"
Morgan,Central,Columbus,"9,013","3,467",38.47%,"2,187","1,279"
Morrow,Central,Columbus,"24,928","10,479",42.04%,"6,872","3,599"
Muskingum,Central,Zanesville,"53,467","18,350",34.32%,"10,519","7,826"
Noble,Southeast,Wheeling,"7,901","2,876",36.40%,"1,934",941
Ottawa,Northwest,Toledo,"30,247","13,408",44.33%,"6,522","6,884"
Paulding,West,Ft. Wayne,"12,460","4,657",37.38%,"3,350","1,306"
Perry,Central,Columbus,"22,332","7,762",34.76%,"4,894","2,857"
Pickaway,Central,Columbus,"36,309","14,432",39.75%,"8,668","5,704"
Pike,Central,Columbus,"17,417","4,710",27.04%,"2,930","1,779"
Portage,Northeast,Cleveland,"107,095","46,293",43.23%,"19,409","26,872"
Preble,West,Dayton,"28,271","10,956",38.75%,"7,409","3,544"
Putnam,Northwest,Toledo,"23,456","11,540",49.20%,"9,435","2,103"
Richland,Northeast,Cleveland,"81,651","30,925",37.87%,"18,695","12,059"
Ross,Central,Columbus,"45,473","15,494",34.07%,"8,366","7,074"
Sandusky,Northwest,Toledo,"39,532","16,494",41.72%,"9,301","7,186"
Scioto,Southeast,Charleston,"44,250","13,432",30.35%,"8,225","5,181"
Seneca,Northwest,Toledo,"34,035","13,858",40.72%,"8,348","5,499"
Shelby,West,Dayton,"32,418","14,637",45.15%,"11,449","3,181"
Stark,Northeast,Cleveland,"245,322","97,895",39.90%,"46,141","50,968"
Summit,Northeast,Cleveland,"367,984","153,402",41.69%,"51,825","101,551"
Trumbull,Northeast,Youngstown,"134,300","50,282",37.44%,"21,511","28,744"
Tuscarawas,Northeast,Cleveland,"57,949","21,300",36.76%,"12,033","9,256"
Union,Central,Columbus,"44,413","19,784",44.55%,"10,049","9,732"
Van Wert,West,Ft. Wayne,"19,940","7,377",37.00%,"5,199","2,176"
Vinton,Southeast,Charleston,"8,335","2,567",30.80%,"1,591",970
Warren,Southwest,Cincinnati,"171,053","72,684",42.49%,"38,275","34,327"
Washington,Southeast,Parkersburg,"41,912","14,737",35.16%,"8,566","6,167"
Wayne,Northeast,Cleveland,"72,415","30,376",41.95%,"17,752","12,597"
Williams,Northwest,Toledo,"24,467","9,652",39.45%,"6,124","3,525"
Wood,Northwest,Toledo,"91,533","36,772",40.17%,"15,975","20,741"
Wyandot,Northwest,Toledo,"14,875","5,923",39.82%,"3,753","2,169"
